source,target,repository,weight,forks,issues,size,languages
yyx990803,indexzero,"brooklynjs.github.io",1,0,0,2587,"JavaScript"
yyx990803,nolanlawson,"brooklynjs.github.io",1,0,0,2587,"JavaScript"
yyx990803,maryrosecook,"brooklynjs.github.io",1,0,0,2587,"JavaScript"
yyx990803,bodil,"brooklynjs.github.io",1,0,0,2587,"JavaScript"
yyx990803,Jinjiang,"buble-loader",1,1,0,6,"JavaScript"
yyx990803,domenic,"classList.js",1,0,0,82,"JavaScript"
yyx990803,mpj,"create-react-app",1,1,0,4571,"JavaScript"
yyx990803,leebyron,"create-react-app",1,1,0,4571,"JavaScript"
yyx990803,markzhai,"create-react-app",1,1,0,4571,"JavaScript"
yyx990803,radar,"create-react-app",1,1,0,4571,"JavaScript"
yyx990803,rwieruch,"create-react-app",1,1,0,4571,"JavaScript"
yyx990803,rogerwang,"dear-github",1,0,0,29,"null"
yyx990803,bkeepers,"dear-github",1,0,0,29,"null"
gaearon,acdlite,"6to5",1,1,0,2384,"JavaScript"
gaearon,leebyron,"6to5",1,1,0,2384,"JavaScript"
gaearon,f,"6to5",1,1,0,2384,"JavaScript"
gaearon,stefanpenner,"6to5",1,1,0,2384,"JavaScript"
addyosmani,mathiasbynens,"2014.jsconf.eu",1,0,0,53236,"null"
addyosmani,RubyLouvre,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,remy,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,mgechev,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,nswbmw,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,mhevery,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,sahat,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,amitshekhariitbhu,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,tylermcginnis,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,DeborahK,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,IgorMinar,"angular.js,angularjs.org",4,1,0,232029,"JavaScript"
addyosmani,ashleygwilliams,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,hzoo,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,rwaldron,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,suissa,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,afc163,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,juliemr,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,robdodson,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,PascalPrecht,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,purcell,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,akira-cn,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,bvaughn,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,camsong,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,kara,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,matsko,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,latentflip,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,markdalgleish,"angular.js,backbone-fundamentals,BackgroundSync",9662,1580,73,342138,"JavaScript,null"
addyosmani,zeke,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,Urigo,"angular.js",3,1,0,229914,"JavaScript"
addyosmani,davideast,"angularjs.org",1,0,0,2115,"JavaScript"
addyosmani,jashkenas,"backbone",10,2,0,12734,"JavaScript"
addyosmani,petehunt,"backbone",10,2,0,12734,"JavaScript"
addyosmani,ericelliott,"backbone",10,2,0,12734,"JavaScript"
addyosmani,ryanflorence,"backbone",10,2,0,12734,"JavaScript"
addyosmani,maccman,"backbone",10,2,0,12734,"JavaScript"
addyosmani,sophiebits,"backbone",10,2,0,12734,"JavaScript"
addyosmani,leebyron,"backbone",10,2,0,12734,"JavaScript"
addyosmani,casatwy,"backbone",10,2,0,12734,"JavaScript"
addyosmani,vczero,"backbone",10,2,0,12734,"JavaScript"
addyosmani,benjamn,"backbone",10,2,0,12734,"JavaScript"
addyosmani,leichunfeng,"backbone",10,2,0,12734,"JavaScript"
addyosmani,HenrikJoreteg,"backbone",10,2,0,12734,"JavaScript"
addyosmani,r00k,"backbone",10,2,0,12734,"JavaScript"
addyosmani,ianstormtaylor,"backbone",10,2,0,12734,"JavaScript"
addyosmani,jakearchibald,"BackgroundSync",2,0,0,155,"null"
paulirish,samccone,"365,airhorn",2,0,0,3098,"JavaScript"
paulirish,hzoo,"axe-core,babel.github.io",2,0,0,19298,"JavaScript,CSS"
paulirish,robdodson,"axe-core,bootstrap",2,2,0,96758,"JavaScript,CSS"
paulirish,madskristensen,"axe-core",1,0,0,3603,"JavaScript"
paulirish,mathiasbynens,"babel.github.io",1,0,0,15695,"CSS"
paulirish,acdlite,"babel.github.io",1,0,0,15695,"CSS"
paulirish,sophiebits,"babel.github.io",1,0,0,15695,"CSS"
paulirish,happypeter,"babel.github.io",1,0,0,15695,"CSS"
