user,repository,stars,forks,issues,size,language
mbostock,hide-flickr-eyebrow,2,0,0,116,JavaScript
mbostock,hide-google-plus-notification,6,2,0,132,CSS
mbostock,Javascript-Voronoi,7,6,0,302,JavaScript
mbostock,jsdom,1,3,0,10627,JavaScript
mbostock,json-write,34,8,0,9,JavaScript
mbostock,json2module,17,3,0,8,JavaScript
mbostock,justascii,6,2,0,5,JavaScript
mbostock,mbostock.github.com,18,6,0,93,null
mbostock,mistakes,2,0,0,1516,JavaScript
mbostock,mongo-mock,15,5,0,103,JavaScript
mbostock,ndjson-cli,163,13,6,58,JavaScript
mbostock,nns,9,3,0,97,JavaScript
mbostock,node-envy,1,3,0,88,JavaScript
buckyroberts,angular-2-template,155,692,3,4,HTML
buckyroberts,Ava,7,4,0,11,Python
buckyroberts,AWS-Playground,10,12,0,6,Python
buckyroberts,Chat,14,23,0,1013,HTML
buckyroberts,Django-REST-Boilerplate,66,29,0,120,Python
buckyroberts,Ella,353,58,3,159,Python
buckyroberts,Falcon,36,17,1,660,HTML
buckyroberts,JavaScript-Lessons,98,96,2,121,JavaScript
buckyroberts,Parsley,114,25,0,24,Python
buckyroberts,Python-Design-Patterns,251,128,1,7,Python
buckyroberts,Python-Packet-Sniffer,99,69,2,351,Python
buckyroberts,python-Stock-Data,16,13,0,11,Python
buckyroberts,pyTranslate,6,3,0,97,Python
buckyroberts,React-Boilerplate,127,222,2,532,CSS
buckyroberts,React-Redux-Boilerplate,662,539,19,2313,JavaScript
buckyroberts,React-Router-Lessons,14,14,2,479,CSS
buckyroberts,React-Stock-Analyzer,14,11,0,790,CSS
buckyroberts,React-Webpack,27,16,0,1102,JavaScript
buckyroberts,Shell-Scripts,11,7,0,5,Shell
buckyroberts,Sliding-Drawer-Menu,1,4,0,554,CSS
buckyroberts,Social-Network,135,168,15,20753,PHP
buckyroberts,Social-Network-Android-App,38,45,4,2662,Java
buckyroberts,Source-Code-from-Tutorials,1501,2348,46,36731,Python
buckyroberts,Spider,595,435,23,47,Python
buckyroberts,thenewboston-API,12,2,0,40,Python
buckyroberts,thenewboston-API-Wrapper,4,1,0,4,Python
buckyroberts,Turtle,145,98,11,44,Python
buckyroberts,Vataxia,222,68,7,2841,Python
buckyroberts,Vataxia-Frontend,174,45,10,1959,JavaScript
buckyroberts,Viberr,368,328,3,7401,HTML
karpathy,arxiv-sanity-preserver,2045,610,56,962,Python
karpathy,char-rnn,7974,2005,100,13412,Lua
karpathy,convnetjs,9098,1809,64,27806,JavaScript
karpathy,EigenLibSVM,44,22,2,104,C++
karpathy,examples,4,0,0,39721,Python
karpathy,find-birds,258,13,1,195,Python
karpathy,forestjs,232,46,1,172,JavaScript
karpathy,karpathy.github.io,197,140,23,23613,CSS
karpathy,lifejs,48,14,0,215,JavaScript
karpathy,MatlabWrapper,32,8,1,92,C++
karpathy,neuraltalk,4720,1230,27,5216,Python
karpathy,neuraltalk2,4173,983,129,370,Jupyter Notebook
karpathy,nipspreview,124,50,2,165,Python
karpathy,nn,5,3,1,1345,Lua
karpathy,notpygamejs,21,5,0,116,JavaScript
karpathy,optim,0,1,0,214,Lua
karpathy,paper-notes,514,65,3,2202,null
karpathy,pytorch-made,290,16,0,87,Python
karpathy,Random-Forest-Matlab,112,92,1,158,Matlab
karpathy,randomfun,103,42,0,356,Jupyter Notebook
karpathy,recurrentjs,768,170,5,325,HTML
karpathy,reinforcejs,745,198,17,588,HTML
karpathy,researchlei,136,39,3,215,Python
karpathy,researchpooler,101,23,0,104,Python
karpathy,scholaroctopus,29,9,0,1232,null
karpathy,scriptsbots,75,36,0,229,C++
karpathy,simple-amt,5,4,0,118,Python
karpathy,svmjs,529,109,3,243,JavaScript
karpathy,tf-agent,79,18,2,5,Python
karpathy,tsnejs,522,96,4,14,JavaScript
defunkt,ace,11,5,0,4405,JavaScript
defunkt,acts_as_textiled,113,34,4,333,Ruby
defunkt,ambition,146,17,1,473,Ruby
defunkt,ambitious_activeldap,6,3,0,96,Ruby
defunkt,ambitious_activerecord,12,3,1,95,Ruby
defunkt,barefootexamples,5,3,0,83,Ruby
defunkt,body_matcher,8,2,0,85,Ruby
defunkt,burn,5,3,0,82,null
defunkt,cache_fu,254,69,6,105,Ruby
defunkt,cheat,231,41,3,235,Ruby
defunkt,cheat.el,13,4,0,120,Emacs Lisp
defunkt,choice,169,22,2,145,Ruby
defunkt,cijoe,1062,135,18,425,Ruby
defunkt,coffee-mode,561,158,18,662,Emacs Lisp
defunkt,colored,253,42,7,120,Ruby
defunkt,currency_converter,7,4,0,374,Objective-C
defunkt,d3,3,1,0,34521,JavaScript
defunkt,defunkt.github.com,69,51,3,3011,null
defunkt,djangode,5,3,0,191,JavaScript
defunkt,dodgeball.github.com,6,6,0,534,Ruby
defunkt,dotenv,5,3,0,75,Ruby
defunkt,dotjs,3178,384,23,1316,Ruby
defunkt,electron-wordwrap,4,4,0,76,null
defunkt,emacs,188,46,0,1705,Emacs Lisp
defunkt,email_reply_parser,3,5,0,137,Ruby
defunkt,evilbot,45,15,1,156,CoffeeScript
defunkt,exception_logger,233,87,2,232,Ruby
defunkt,facebox,1938,420,31,1174,JavaScript
defunkt,faceup,6,6,1,1994,JavaScript
defunkt,fixture_scenarios_builder,12,6,0,96,Ruby
douglascrockford,ADsafe,215,41,0,59,JavaScript
douglascrockford,DEC64,734,47,0,255,C
douglascrockford,ecomcon,16,1,0,4,C
douglascrockford,fash,22,5,0,49,Assembly
douglascrockford,JSCheck,470,37,0,105,HTML
douglascrockford,JSLint,3152,419,0,1340,JavaScript
douglascrockford,JSMin,552,130,2,173,C
douglascrockford,JSON-c,48,13,0,10,C
douglascrockford,JSON-js,7432,4224,6,53,JavaScript
douglascrockford,MEC,9,0,0,7,Assembly
douglascrockford,parseq,34,1,0,47,JavaScript
douglascrockford,Programma,67,8,0,2056,null
douglascrockford,RQ,685,44,0,82,JavaScript
douglascrockford,TDOP,121,27,1,24,HTML
douglascrockford,TheJavaScriptEncyclopedia,350,44,3,330,HTML
JacksonTian,500lines,0,1,0,7427,Python
JacksonTian,accesslog,0,0,0,124,JavaScript
JacksonTian,ali-ons,0,0,0,86,JavaScript
JacksonTian,ali-oss,0,0,0,434,JavaScript
JacksonTian,aliyun-sdk-js,0,0,0,7806,JavaScript
JacksonTian,alpha,3,0,0,658,JavaScript
