Id,Label,timeset,componentnumber,modularity_class,Authority,Hub,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
johnpapa,johnpapa,,0,9,0.038517,0.038517,0.711462,180,6,0.327335,0.357817,1003.419494,0.220638
loiane,loiane,,0,9,0.037346,0.037346,1,171,6,0.324848,0.352943,0,0.212701
btford,btford,,0,9,0.039577,0.039577,0.957895,182,6,0.325714,0.3546,9.735696,0.224762
yuanyan,yuanyan,,0,8,0.039649,0.039649,0.623188,172,6,0.33942,0.371384,464.664463,0.229698
gdi2290,gdi2290,,0,14,0.037418,0.037418,0.9,171,6,0.331395,0.360019,465.949255,0.214239
vsavkin,vsavkin,,0,14,0.049248,0.049248,0.531034,231,5,0.344758,0.379591,578.971241,0.283898
doggy8088,doggy8088,,0,14,0.039577,0.039577,0.957895,182,6,0.325714,0.3546,9.735696,0.224762
mschwarzmueller,mschwarzmueller,,0,14,0.029709,0.029709,0.398693,61,5,0.333854,0.363489,352.497439,0.173834
DanWahlin,DanWahlin,,0,9,0.000974,0.000974,0,0,7,0.246682,0.258229,0,0.005719
sdras,sdras,,0,9,0.011869,0.011869,0.4,22,6,0.329988,0.355088,292.542301,0.074852
JeffreyWay,JeffreyWay,,0,0,0.005049,0.005049,0.208791,19,5,0.335557,0.361442,735.98927,0.043882
themsaid,themsaid,,0,0,0.002937,0.002937,0.6,6,6,0.306013,0.324386,25.704855,0.022115
mhartl,mhartl,,0,5,0.007964,0.007964,0.484848,32,6,0.342274,0.366433,365.58381,0.061927
GaelVaroquaux,GaelVaroquaux,,0,0,0.001021,0.001021,0.285714,6,6,0.302441,0.320799,991.316279,0.013315
matyhtf,matyhtf,,0,23,0.00267,0.00267,0.436364,24,6,0.317019,0.339162,241.037099,0.027861
daylerees,daylerees,,0,23,0.004599,0.004599,0.161905,17,6,0.327963,0.353197,1757.55762,0.038757
ircmaxell,ircmaxell,,0,5,0.002538,0.002538,0.285714,8,6,0.307775,0.327251,168.776563,0.02089
astaxie,astaxie,,0,5,0.005469,0.005469,0.247619,26,6,0.345874,0.371618,1936.631319,0.051114
guo-yu,guo-yu,,0,42,0.005673,0.005673,0.111111,5,6,0.329734,0.352339,851.438032,0.041023
orhanobut,orhanobut,,0,23,0.0004,0.0004,0.3,3,7,0.276163,0.290245,890.136535,0.005359
tobegit3hub,tobegit3hub,,0,23,0.003918,0.003918,0.214286,6,6,0.301268,0.320292,1225.050604,0.025741
dsyer,dsyer,,0,5,0.004497,0.004497,0.1,1,6,0.307997,0.325926,850.855393,0.028268
summerblue,summerblue,,0,5,0.002637,0.002637,0.333333,22,6,0.332039,0.356004,698.94976,0.032177
teaey,teaey,,0,5,0.002451,0.002451,0.238095,25,5,0.327712,0.353177,4420.695198,0.032158
wangshub,wangshub,,0,5,0.008447,0.008447,0.19883,34,5,0.361217,0.389493,1306.454039,0.078866
rlerdorf,rlerdorf,,0,8,0.004234,0.004234,0.075758,5,6,0.318199,0.3423,594.829087,0.0321
fabpot,fabpot,,0,23,0.006544,0.006544,0.285714,26,6,0.32948,0.355848,1170.836118,0.048511
joshaber,joshaber,,0,21,0.003927,0.003927,0.428571,12,6,0.316198,0.336959,495.839043,0.032486
shwenzhang,shwenzhang,,0,19,0.009003,0.009003,0.287749,101,5,0.357143,0.389669,2544.084257,0.096433
josevalim,josevalim,,0,29,0.00076,0.00076,0.25,7,6,0.302869,0.321871,514.968063,0.011385
dyc87112,dyc87112,,0,29,0.005249,0.005249,0.228571,24,6,0.33969,0.366706,1495.732498,0.052008
waylau,waylau,,0,29,0.000644,0.000644,0.4,6,6,0.285667,0.301891,139.146557,0.007816
Yixiaohan,Yixiaohan,,0,29,0.001444,0.001444,0.428571,9,6,0.304054,0.322242,171.609702,0.015205
ksky521,ksky521,,0,29,0.000741,0.000741,0.466667,21,6,0.294421,0.313626,194.735136,0.012004
yexiaochai,yexiaochai,,0,8,0.008119,0.008119,0.272727,15,5,0.333593,0.358811,505.970094,0.053676
wesbos,wesbos,,0,26,0.003308,0.003308,1,10,6,0.310796,0.328538,0,0.0257
zenorocha,zenorocha,,0,26,0.00331,0.00331,0.666667,10,6,0.310909,0.329123,854,0.025967
alex-cory,alex-cory,,0,26,0.022928,0.022928,0.387352,98,6,0.356398,0.388889,1213.269205,0.151563
mikeal,mikeal,,0,14,0.032092,0.032092,1,78,6,0.336614,0.363957,0,0.185057
kittens,kittens,,0,23,0.03605,0.03605,0.647059,99,5,0.339825,0.369181,403.473717,0.208278
alsotang,alsotang,,0,36,0.01418,0.01418,0.421053,80,5,0.360912,0.391852,827.023615,0.108844
sjl,sjl,,0,36,0.004897,0.004897,0.047619,1,6,0.320225,0.342086,1801.193732,0.03422
drnic,drnic,,0,36,0.004779,0.004779,0.357143,10,6,0.320225,0.342027,1020.7397,0.035653
tomdale,tomdale,,0,6,0.003865,0.003865,0.333333,2,5,0.316784,0.334522,22.065621,0.027973
akitaonrails,akitaonrails,,0,36,0.009925,0.009925,0.464286,13,6,0.332039,0.356842,71.895659,0.067034
dherman,dherman,,0,38,0.004739,0.004739,0.2,3,6,0.318673,0.338324,169.431859,0.03469
kaushikgopal,kaushikgopal,,0,1,0.003714,0.003714,0.272727,15,6,0.316198,0.339396,403.759975,0.033386
sofish,sofish,,0,36,0.000303,0.000303,0,0,6,0.266604,0.278421,0,0.003355
hakimel,hakimel,,0,8,0.006363,0.006363,0.107143,3,6,0.325963,0.348674,508.419559,0.043111
rpetrich,rpetrich,,0,8,0.000857,0.000857,0.5,3,6,0.274126,0.289123,31.100292,0.007249
romainfrancois,romainfrancois,,0,8,0.001179,0.001179,0.321429,9,6,0.294523,0.312788,338.220506,0.01224
botelho,botelho,,0,8,0.010253,0.010253,0.654545,36,6,0.325714,0.349825,917.738142,0.066844
aaronsw,aaronsw,,0,36,0.001051,0.001051,0.214286,6,6,0.307333,0.326628,310.262888,0.014562
jackmoore,jackmoore,,0,7,0.012705,0.012705,0.128655,22,6,0.351852,0.380955,1601.53945,0.087388
lemire,lemire,,0,5,0.005581,0.005581,0.390476,41,5,0.342685,0.370663,1241.259824,0.053076
sdiehl,sdiehl,,0,9,0.001181,0.001181,0.190476,4,6,0.304487,0.323353,208.914118,0.013007
djspiewak,djspiewak,,0,9,0.001759,0.001759,0.194444,7,6,0.300739,0.321891,335.575612,0.016346
paulmillr,paulmillr,,0,8,0.009092,0.009092,0.5,5,6,0.316198,0.337368,18.305849,0.054332
kamranahmedse,kamranahmedse,,0,11,0.008298,0.008298,0.375,45,6,0.336482,0.364055,655.81136,0.063454
Seldaek,Seldaek,,0,23,0.014021,0.014021,0.225108,52,5,0.34955,0.381131,1734.41167,0.094672
weierophinney,weierophinney,,0,23,0.004827,0.004827,0.666667,24,6,0.311022,0.334211,553.872066,0.03504
igrigorik,igrigorik,,0,23,0.012097,0.012097,0.287879,19,6,0.332168,0.35807,873.091321,0.074244
GrahamCampbell,GrahamCampbell,,0,23,0.000216,0.000216,0,0,7,0.254389,0.266035,3.10239,0.002569
pydanny,pydanny,,0,42,0.007646,0.007646,0.141667,17,6,0.348837,0.376452,1028.67341,0.060139
pjhyett,pjhyett,,0,36,0.000261,0.000261,0.333333,1,6,0.265281,0.279142,2.233075,0.004314
leah,leah,,0,36,0.004702,0.004702,0.736264,67,5,0.327963,0.35308,492.304403,0.04675
